Debater,Partner School,Rounds
Angela Morales,Fordham,4
Angela Zhang,Dartmouth,18
Angelina Villalobos,Amherst,8
Angeline Agnel,Rutgers,10
Angelique Dinnall,Rutgers,8
Angelo Leng,Carnegie Mellon,5
Angelo Pacheco,Binghamton University,2
Angier Lei,George Washington,12
Anh Cao,Harvard,8
Anika Khanna,University of Virginia,6
Anika Khanna,University of Chicago,4
Animesh Joshi,Columbia,2
Anirudh Rangesh,Boston College,8
Anirudh Vats,Carnegie Mellon,18
Anirudh Vats,University of Virginia,4
Anish Beeram,Yale,4
Anish Welde,Penn,45
Anish Welde,Georgetown,10
Anish Welde,Brandeis,4
Anishka Varma,University of Massachusetts,6
Ann Garth,Brown,44
Ann Garth,Northeastern,6
Ann Garth,Harvard,4
Ann Tran,Dartmouth,8
Ann Wang,Harvard,16
Anna Brutocao,University of Chicago,26
Anna Eliasson,Tufts,10
Anna Gustafson,Maryland,81
Anna Kate Lembke,Brown,12
Anna Ketrenos,Tufts,6
Anna Kim,Brown,42
Anna Kim,Northeastern,6
Anna Kim,Wellesley,4
Anna Miller,Brown,6
Anna Newell,Maryland,18
Anna Pinkerton,George Washington,86
Anna Pinkerton,University of Virginia,8
Anna Smith,Wellesley,16
Annabelle Xing,Yale,6
Annabeth Golden,American,6
Annamaria Antony,Stanford,8
Anne Fox,American,20
Anne Jiang,Wellesley,18
Anne Jiang,Brown,4
Anne Motoviloff,Wellesley,10
Annette Kim,Swarthmore,18
Annette Kim,Rutgers,8
Annie Abruzzo,Swarthmore,10
Annie Li,Wellesley,14
Annmaria Antony,Stanford,16
Anqi Qu,University of Chicago,10
Anshul Khakar,Tufts,2
Antara Martins,Harvard,6
Anthony Chandler,University of Virginia,10
Anthony Lee,NYU,6
Anthony Sweatt,Bentley University,6
Anthony Vitale,Tufts,6
Anubhav Agarwal,Princeton,4
Anuhya Mandava,Northeastern,4
Anuj Lohtia,Brown,8
Anushri Dwivedi,Rutgers,24
Anuska Achayra,Wellesley,4
Anvitha Reddy,Georgetown,10
Anya Draves,Penn,2
Anza Rizvi,Boston University,6
Aoi Nakata,Harvard,10
Arav Juneja,Maryland,14
Araya Miller,Yale,4
Ari Gabriel,Stanford,8
