Debater,Partner School,Rounds
Rodrigo Trujillo,Brown,4
Rohan Battula,Penn,21
Rohan Battula,Harvard,6
Rohan Battula,Williams,2
Rohan Gandhi,Maryland,19
Rohan Ganesh,Penn,64
Rohan Ganesh,Johns Hopkins,30
Rohan Ganesh,Northeastern,16
Rohan Ganesh,Rutgers,14
Rohan Ganesh,Princeton,10
Rohan Ganesh,Brown,8
Rohan Ganesh,University of Chicago,8
Rohan Ganesh,Williams,4
Rohan Jinturkar,Princeton,6
Rohan Kapoor,University of Chicago,48
Rohan Kapoor,Yale,8
Rohan Kapoor,Johns Hopkins,3
Rohan Sachdev,University of Chicago,204
Rohan Sachdev,Boston University,18
Rohan Sachdev,Johns Hopkins,8
Rohan Sachdev,William and Mary,7
Rohan Sachdev,Penn,6
Rohan Sundaram,Columbia,2
Rolando Smith,Temple,8
Rome Ben-David,Wellesley,8
Romina Lilollari,Harvard,48
Ron Mucci,Rutgers,6
Ron Mucci,CUNY,5
Ronoy Sarkar,Maryland,16
Roopeksha Agrawal,Wellesley,18
Rory Mahon,Georgetown,4
Rose West,Rutgers,8
Rose West,Haverford,6
Rosemary Hungerford,Wellesley,10
Rosemary Hungerford,Brandeis,4
Rosie Aronson,George Washington,14
Roxanne Daniel,Harvard,4
Roy Mazumder,Fisher College,28
Roy Tiefer,University of Chicago,138
Roy Tiefer,Brown,8
Roy Tiefer,Tufts,8
Roy Tiefer,University of Virginia,4
Roy Tiefer,Yale,2
Roza Kavak,Brown,8
Roza Kavak,Wellesley,6
Rustam Biswas,Maryland,8
Ruth Tony-Alabi,University of Massachusetts,4
Ryan Geary,Binghamton University,5
Ryan Gumlia,Yale,14
Ryan Jiang,Princeton,8
Ryan Katz,Brown,4
Ryan Kim,Princeton,8
Ryan Lafferty,Dartmouth,38
Ryan Lafferty,Yale,11
Ryan Lafferty,University of Chicago,8
Ryan Lafferty,Brown,4
Ryan Lafferty,Carnegie Mellon,2
Ryan Lafferty,Rutgers,2
Ryan Lin,Boston University,12
Ryan Lin,Brandeis,8
Ryan Lin,Wellesley,6
Ryan Schoenstedt,Northeastern,18
Ryan Shaffer,Brandeis,24
Ryan Shaffer,Amherst,4
Ryan Tiedemann,George Washington,284
Ryan Tiedemann,University of Virginia,6
Ryan Tiedemann,Georgetown,4
Saahas Ajmera,University of Chicago,19
Saanvi Goel,Maryland,2
Sabrina Chen,University of Chicago,22
Sachin Patel,Boston College,8
Sadie Adams,University of Virginia,6
Sadie Anderson,Hamilton,42
Sadie Moore,Columbia,16
Safal Aryal,Tufts,6
Safal Aryal,Brown,2
Safiatou Balde,Brandeis,4
Sagar Rao,Swarthmore,20
Sage Bates,Georgetown,8
Sage Mehta,Penn,10
Sahil Sood,Harvard,88
Sahil Sood,Yale,6
Sahil Sud,Georgetown,137
Sahil Sud,George Washington,28
Sahil Sud,University of Chicago,13
Sahil Sud,Amherst,8
Sahil Sud,Brown,6
Sahil Sud,Johns Hopkins,4
Sahil Sud,Bates,2
Sahithya Venkatesh,Maryland,24
Sai Karnati,Brown,10
Saif El Khodor,NYU,4
Saif Elkhodor,NYU,16
Saif Virani,Fordham,26
Sajan Mehrotra,Stanford,6
Sakshyam Pokharel,Princeton,8
Salma Alhsni,Princeton,23
Sam Arnesen,Princeton,10
Sam Bevins,Dartmouth,8
Sam Borne,Bowdoin College,8
Sam Bowen,Northwestern,8
Sam Chen,Harvard,4
Sam Doyle,Boston College,2
Sam Haj,Brown,4
Sam Huang,Bates,8
Sam Huang,George Washington,4
Sam Jones,Harvard,12
Sam Liu,Tufts,14
Sam Slezak,University of Pittsburgh,4
Sam Watkins,American,4
Sam Watkins,Fordham,2
Sam Widell,George Washington,2
Saman Zeb,Swarthmore,15
Samantha Mascara,Tufts,10
Samantha Mascara,University of Massachusetts,10
Samantha Przybisiki,Brandeis,4
Samantha Sun,Wesleyan,4
Samantha Zaino,University of Chicago,20
Samara Cuaresma,Harvard,28
Samhitha Duggirala,University of Virginia,8
Samhitha Duggurala,Carnegie Mellon,2
Samuel Johnson,University of Chicago,70
Samuel Johnson,Tufts,16
Samuel Johnson,William and Mary,10
Samuel Johnson,Dartmouth,6
Samuel Johnson,Harvard,6
Samuel Johnson,Northeastern,4
Samuel Johnson,University of Virginia,2
Samuel Johnson,Williams,2
Samuel Melcher,Bates,22
Samuel Ruiz-Macias,Harvard,4
Samuel Watkins,American,50
Samuel Watkins,Drexel,6
Sandro D'Aveta,Boston University,8
Sandy Greenberg,Brown,36
Sandy Greenberg,Northeastern,8
Sandy Greenberg,Harvard,6
Sandy Greenberg,Yale,3
Sangwon Park,Johns Hopkins,4
Sania Shahid,William and Mary,16
Sania Shahid,Georgetown,2
Sankalp Borah,UConn,22
Sannan Dhillon,Swarthmore,4
Sannidhi Korisepati,Maryland,16
Santi Cantu,MIT,4
Santiago Paul,Williams,40
Sara Chokshi,Carnegie Mellon,14
Sara Jayakumar,University of Chicago,12
Sara Landry,William and Mary,32
Sara Zdancewicz,University of Pittsburgh,13
Sara Zdancewicz,Rutgers,4
Sara Zdancewicz,William and Mary,2
Sarah Burke,Brown,2
Sarah Chatfield,William and Mary,86
Sarah Cobau,Maryland,14
Sarah Geist,Wellesley,2
Sarah Grace Shurden,Georgetown,14
Sarah Hu,Wellesley,6
Sarah Lehman,Yale,14
Sarah Levit,St. Mary's,4
Sarah Miller,George Washington,150
Sarah Miller,University of Virginia,8
Sarah Miller,Georgetown,6
Sarah Miller,Carnegie Mellon,2
Sarah Moore,Wellesley,16
Sarah Murphy,Northeastern,10
Sarah Rooney,Boston University,6
Sarah Ryan,Harvard,8
Sarah Ryan,Brown,6
Sarah Smith,Northeastern,70
Sarah Weill-Jones,Haverford,16
Sarah Weill-Jones,Swarthmore,6
Sarah Weill-Jones,Temple,6
Sarah Wheaton,Swarthmore,4
Sarah Willrich,University of Chicago,60
Sarem Haq,Georgetown,11
Sarem Haq,University of Pittsburgh,2
Sarem Leghari,Penn,4
Sarem Leghari,University of Virginia,4
Sasha Chuprakova,Rutgers,26
Sasha Chuprakova,American,2
Sasha Chuprakova,Columbia,2
Sasha Turner,Columbia,2
Satoshi Yanaizu,Harvard,2
Satvik Srinivas,Rutgers,6
Savannah Stackhouse,Yale,6
Sayer Theiss,Williams,16
Scott Santaella,Temple,4
Scott Wang,Amherst,4
Seamus Allen,Stanford,2
Sean Callaghan,Harvard,14
Sean Grey,George Washington,8
Sean Oddoye,Johns Hopkins,18
Sean Oddoye,Maryland,2
Sebastian Attlan,Harvard,6
Sebastian Bryant,University of Chicago,4
Sebastian Cardena,Georgetown,20
Sebastian Cardena,George Washington,4
Sebastian Cardena,Rutgers,4
Sebastian Juarez,Harvard,8
Sebastian Lemberger,University of Chicago,54
Sehrish Gohar,Stanford,10
Sehrish Gohar,Brandeis,4
Selena Bahl,Washington University in St. Louis,12
Sena Kim,Penn,12
Seoho Park,Wellesley,20
Seonbin Song,University of Virginia,8
Sergio Valente,Georgetown,22
Sergio Valente,American,16
Sergio Valente,George Washington,8
Sergio Valente,University of Virginia,4
Seven Deng,Lehigh,16
Seán Durkis-Dervonge,Georgetown,8
Shadan Khalid,NYU,2
Shaheen Fazal-Merchant,Wellesley,6
Shaima Osman,Wesleyan,4
Shannon Stapleton,St. Mary's,8
Shannon White,Northeastern,60
Shashwat Rai,Harvard,72
Shashwat Rai,George Washington,6
Shawn Leach,University of Delaware,18
Shawn Varghese,Rutgers,76
Shawn Varghese,Johns Hopkins,6
Shaye Martin,Williams,33
Shaye Martin,Rutgers,6
Shelby Amato,George Washington,8
Shenan Worrel,University of Virginia,101
Shenandoah Worrel,University of Virginia,12
Sheryar Fazal,Princeton,2
Shi Wen Yeo,Yale,10
Shiv Chawla,Brandeis,8
Shiwen Yeo,Yale,4
Shobi Kim,Williams,8
Shotaro Oshikawa,Johns Hopkins,10
Shreeya Adhikari,Northeastern,20
Shreya Karthik,Brown,18
Shreya Parjan,Wellesley,7
Shreyas Gullapalli,University of Virginia,10
Shreyas Iyer,Harvard,2
Shreyas Kumar,Princeton,8
Shreyoshi Das,Penn,10
Shreyoshi Das,Swarthmore,6
Shruti Baxi,Yale,6
Shruti Narayanabhatla,Rutgers,176
Shruti Narayanabhatla,Columbia,10
Shruti Narayanabhatla,Georgetown,10
Shruti Narayanabhatla,University of Chicago,8
Shyla Summers,Yale,76
Shyla Summers,George Washington,4
Shyla Summers,Georgetown,4
Sid Ramanathan,Georgetown,20
Siddhaarth Chakravarthy,Boston University,8
Siddharth Ramanathan,Georgetown,24
Sidra Hussain,George Washington,81
Sidra Hussain,Georgetown,12
Sidra Hussain,Johns Hopkins,10
Sidra Hussain,University of Virginia,8
Sidra Hussain,William and Mary,8
Sidra Hussain,Northeastern,6
Sidra Hussain,La Verne,2
Sierra Rodriguez,Northeastern,10
Sierra Rodriguez,George Washington,6
Sierra Rodriguez,NYU,6
Sierra Valdez,Harvard,24
Siilen Sergelen,Penn,4
Sim Low,Johns Hopkins,24
Simba Ali,Fordham,16
Simon Picotte,University of Chicago,22
Sinan Yucel,Georgetown,8
Sithara Subramanian,Rutgers,18
Sivani Srinivasan,NYU,28
Sivani Srinivasan,Rutgers,6
Sky Park,Swarthmore,8
Sofia Bocchino,NYU,6
Sofia Fleri,Lehigh,8
Sohum Sheth,Penn,10
Sol Manis,Washington University in St. Louis,32
Solara Bakhit,Fisher College,4
Somya Sharma,Boston University,14
Sonam Tenzin Wangchuk,Yale,12
Sonam Wangchuk,Yale,18
Sonam Wangchuk,Princeton,10
Sonia Fan,George Washington,26
Sonia Fan,Georgetown,24
Sonia Fan,University of Chicago,10
Sonia Teodorescu,Boston University,16
Sonia Teodorescu,Wellesley,10
Sophia Cody,Fordham,6
Sophia Fend,Harvard,6
Sophia Li,Stanford,10
Sophia Lichterfield,Harvard,6
Sophia Liu,University of Chicago,16
Sophia Luna,Fordham,8
Sophia Seyer,Fordham,8
Sophia Stone,Yale,18
Sophia Tyrrell-Knott,Johns Hopkins,16
Sophia Winner,Maryland,18
Sophia Winner,George Washington,5
Sophie Johnson,Dartmouth,10
Sophie Rukin,Brown,56
Sophie Rukin,Tufts,8
Sophie Rukin,Yale,8
Sophie Rukin,Brandeis,4
Sophie Rukin,Dartmouth,4
Sophie Staii,Tufts,6
Sophie Xu,Boston University,6
Sparsh Jain,University of Chicago,4
Spencer Conrad,Brown,8
Spencer Yost-Wolff,George Washington,23
Spike King,Brandeis,22
Spike King,Boston University,8
Sreeta Basu,Northeastern,6
Srishti Nautiyal,Brandeis,56
Srishti Nautiyal,Boston University,30
Srishti Nautiyal,George Washington,10
Srishti Nautiyal,William and Mary,6
Srishti Nautiyal,Yale,6
Srishti Nautiyal,Northeastern,2
Sruthi Bharath Kumar,Wellesley,8
Stanley Kuo,Boston University,2
Stav Kanza,Rutgers,10
Stav Kanza,Swarthmore,8
Stav Kanza,Haverford,2
Stav Kanza-Levi,Rutgers,24
Stav Kanza-Levi,Smith,2
Stefan Alexander Whitwell,Northeastern,14
Stefano Raffo,Maryland,90
Stella Ren,Princeton,2
Stella Shen,William and Mary,12
Stephanie Chen,Harvard,8
Stephanie Purwanto,George Washington,32
Sterling Peterson,University of Virginia,28
Sterling Xie,University of Chicago,4
Steven Huang,Tufts,16
Steven Huang,Northeastern,10
Steven Porter,University of Chicago,62
Stone Yang,Stanford,4
Subhash Durbha,Rutgers,16
Suhail Al Eryani,Maryland,22
Suki Chen,Wesleyan,8
Sullivan Ho,Yale,16
Sullivan Ho,Columbia,8
Sumanth Mahalingam,Johns Hopkins,54
Sumanth Mahalingam,University of Chicago,18
Sumanth Mahalingam,Columbia,10
Sumanth Mahalingam,George Washington,8
Sumanth Mahalingam,Rutgers,8
Sumanth Mahalingam,Georgetown,4
Sunay Hegde,Rutgers,12
Sungjoo Yoon,Harvard,6
Sunny Kumar,Princeton,8
Susan Mcharris,Swarthmore,10
Susanna Kharatyan,University of Virginia,10
Susanna Kritzler,University of Chicago,8
Susie Garcia,Stanford,8
Swayam Shashikumar,Rutgers,8
Sydney Cook,University of Chicago,61
Sydney Cook,University of Virginia,14
Sydney Cook,Georgetown,8
Sydney Cook,Amherst,6
Sylvie Turk,Penn,6
Taeho Lee,Carnegie Mellon,2
Tahalia Nira,Boston University,22
Tai Henrichs,Williams,52
Tai Henrichs,Johns Hopkins,6
Tai Henrichs,Tufts,4
Tai Henrichs,Wellesley,4
Taillte Cooney-Newton,Bates,3
Talia Ehrenberg,Amherst,10
Talia Hsia,Yale,8
Tamhid Islam,Dartmouth,1
Tammy Yamile Leon Molina,Princeton,2
Tanay Jagannathan,Columbia,36
Tanay Jagannathan,Amherst,8
Tanay Patri,Northeastern,14
Tanay Patri,Johns Hopkins,12
Tanay Patri,Boston University,8
Tanay Patri,Penn,8
Tanay Patri,Yale,8
Tanay Patri,Harvard,6
Tanay Patri,Wellesley,6
Tanay Tarikere,American,20
Tangya Tan,Johns Hopkins,6
Tanush Vanarase,UConn,6
Tanvi Agarwal,Wellesley,8
Tanvir Thamid,Bates,14
Tanya Chatterjee,Columbia,66
Tanya Chatterjee,Johns Hopkins,22
Tanya Chatterjee,Rutgers,20
Tanya Chatterjee,Amherst,10
Tanya Chatterjee,Brown,10
Tanya Chatterjee,Penn,4
Tanya Chatterjee,Yale,4
Tarin Martinez,Haverford,10
Taru Chirume,American,10
Taryn Murphy,University of Chicago,148
Taryn Murphy,Georgetown,8
Taryn Murphy,University of Virginia,8
Taryn Murphy,George Washington,6
Taryn Murphy,Columbia,4
Taylor Curro,University of Virginia,8
Taylor Heller,NYU,4
Teagan Benavidez,Smith,1
Ted Chang,Harvard,4
Ted Chang,Tufts,4
Ted Chang,University of Chicago,4
Teddy Tawil,Yale,28
Teddy Wyman,Boston University,26
Teddy Wyman,Tufts,10
Teddy Wyman,Harvard,4
Teddy Wyman,Northeastern,4
Tejal Patwardhan,Harvard,4
Tejas Subramaniam,Stanford,12
Teresa Chen,Princeton,17
Terrence Wu,Amherst,6
Thej Mallu,Northeastern,3
Theo Baker,Temple,10
Theo Datta,Harvard,46
Theo Miranda-Zellnik,Maryland,8
Theodore Gercken,Hamilton,58
Thibaut Stussi,Boston University,24
Thierry Moss,Bates,36
Thierry Moss,Northeastern,8
Thierry Moss,Boston University,6
Thomas Coorey,Columbia,10
Thomas Copher,Boston College,18
Thomas Dragovich,Maryland,127
Thomas Evans,University of Chicago,8
Thomas Kim,Johns Hopkins,6
Thomas Sargent,Carnegie Mellon,24
Thomas Sargent,University of Pittsburgh,10
Thomas Sargent,Boston University,8
Thomas Suchowolec,Boston University,2
Tierney Egan,University of Virginia,48
Tiffany Ju,Wellesley,22
Tiffany Yuan,Johns Hopkins,55
Tiffany Yuan,Georgetown,10
Tilly Robinson,Harvard,17
Tilly Robinson,George Washington,4
Tim Carroll,Amherst,4
Tim Colledge,Yale,4
Tim Colledge,Hamilton,2
Tim Do,Johns Hopkins,26
Tim Do,Williams,6
Tim Do,William and Mary,2
Tim Merrill,University of Delaware,24
Timmy Miller,University of Pittsburgh,2
Timothy Colledge,Hamilton,28
Tina Gao,Johns Hopkins,9
Toby Arment,Brown,10
Toby Winick,Tufts,10
Tomiris Ospan,Harvard,7
Tommy Koh,Columbia,2
Tong Zhou,Harvard,8
Tony Liu,Harvard,6
Tori Borlase,Harvard,8
Tori Borlase,Columbia,4
Tori Ling,Penn,6
Tori Qiu,Stanford,6
Tori Reisz,Northeastern,86
Tori Reisz,Bates,10
Tori Reisz,Wellesley,10
Tori Reisz,Brown,6
Tosca Neuma Nn,Brown,5
Tosca Neumann,Bates,89
Tosca Neumann,Amherst,18
Tosca Neumann,Brown,6
Tosca Neumann,Columbia,6
Tosca Neumann,Wellesley,4
Tosca Neumann,Georgetown,2
Trent Kannegieter,Yale,26
Trent Kannegieter,Bard,4
Trevor Hatem,Boston College,10
Trevor Quintero,Northwestern,10
Trey Rodriguez,Fordham,12
Tristan Bohn,Brown,8
Tristan Moore,Amherst,22
Tristan Ward,Brown,14
Tristan Zlotkowski,Pace,8
Tucker Wilke,Brown,10
Tvisha Malik,Penn,22
Tvisha Malik,Northeastern,8
Ty Schnyder,Lehigh,18
Tyler Hunt,American,4
Ubaldo Rodriguez,University of Chicago,8
Udheesh Gaddipati,NYU,77
Uma Menon,Princeton,18
Uma Menon,Johns Hopkins,2
Umang Vinayaka,Harvard,2
Uszee Mckoy,Wesleyan,28
Vahan Tadevosyan,Swarthmore,8
Vara Mathiyalakan,Johns Hopkins,20
Vara Mathiyalakan,Georgetown,6
Varnum Bayless,University of Virginia,13
Varsha Sripadham,NYU,24
Varun Piram,Columbia,4
Varun Vijay,George Washington,4
Vasa Syomin,Maryland,20
Vasiley Syomin,Maryland,24
Vedesh Kodnani,University of Chicago,75
Vedesh Kodnani,Johns Hopkins,10
Veeank Maniar,NYU,8
Ventura Garcia-Perez,Amherst,2
Vera Chaudhry,University of Chicago,10
Veronica Leahy,NYU,10
Vibhav Singh,University of Chicago,46
Vickie Song,University of Chicago,2
Victor Tong,Columbia,10
Victoria Ajayi,Rutgers,66
Victoria Ajayi,Boston University,4
Victoria Ajayi,Georgetown,4
Victoria Fekete,William and Mary,4
Victoria Kartashev,Dartmouth,20
Victoria Kurakata,University of Chicago,88
Victoria Pachnik,Harvard,8
Victoria Yang,Stanford,10
Vidhi Bhartiya,Yale,12
Viet Phan,Rutgers,40
Vignesh Valliyur,Penn,33
Viha Kedia,Penn,10
Vihaan Thakkar,University of Virginia,2
Vihini Gunasekera,University of Virginia,130
Vihini Gunasekera,George Washington,18
Vihini Gunasekera,William and Mary,16
Vihini Gunasekera,University of Chicago,8
Vikki Perijainen,Harvard,3
Vikram Balasubramanian,William and Mary,12
Vikram Balasubramanian,Harvard,6
Vikram Balasubramanian,Swarthmore,6
Vikram Prasad,Maryland,31
Vincent Kazella,Fordham,4
Vincent Tocci,Williams,20
Vincent Tocci,Boston University,4
Vincent Ying,Penn,8
Vinny Kazz,Fordham,8
Violet Whitmire,University of Virginia,139
Violet Whitmire,University of Chicago,8
Violet Whitmire,Amherst,4
Violet Whitmire,George Washington,4
Viraj Nautiyal,Brown,94
Vishaal Arunprasad,Boston University,64
Vishwa Rakasi,Yale,54
Vita Raskeviciute,Penn,6
Vitor Cezario,Harvard,10
Vivaan Pagariya,Boston University,10
Vivaan Sood,Williams,42
Vivek Kirpilani,Princeton,8
Vivian Chiu,Johns Hopkins,10
Vivian Li,University of Chicago,4
Vivian Zhang,Harvard,4
Vivian Zhu,Yale,6
Vivian Zhu,Stanford,4
Vivienne Monteiro,George Washington,132
Vivienne Monteiro,Brandeis,10
Vivienne Monteiro,Brown,4
Vivienne Monteiro,Yale,4
Von An,Temple,12
Vyomini Gurung,Hamilton,42
Warrick Kwon,University of Chicago,16
Wendy Gao,University of Virginia,30
Wendy Zhang,Yale,4
Wes Mcgovern,Fordham,8
Weslan Hansen,George Washington,41
Weslan Hansen,University of Virginia,12
Weslan Hansen,Georgetown,10
Weslan Hansen,American,8
Weslan Hansen,Bates,4
Weslan Hansen,NYU,2
Wesley Chiu,Brown,24
Wesley Liu,NYU,36
Wil Kozlowski,Brandeis,78
Wil Kozlowski,Boston University,8
Will Arnesen,Yale,6
Will Brown,American,2
Will Choi,American,4
Will Donnelly,University of Pittsburgh,4
Will Donnelly,Brown,2
Will Donnelly,CUNY,2
Will Flintoft,Harvard,6
Will Huang,Swarthmore,36
Will Jin,Swarthmore,10
Will Logue,Williams,10
Will Shachar,Tufts,40
Will Shachar,Temple,8
Will Zeng,University of Virginia,12
William Berry,Yale,64
William Berry,Penn,6
William Chen,University of Massachusetts,2
William Choi,Johns Hopkins,4
William Cote,William and Mary,19
William Golub,Stanford,8
William Hallward-Driemeier,Williams,21
William Huang,Swarthmore,8
William Logue,Brown,20
William Logue,Williams,18
William Logue,Northeastern,4
William Logue,Penn,4
William Logue,La Verne,2
William Logue,NYU,2
William Logue,Tufts,2
William Rudolph,Williams,10
William Wu,Bates,4
Willow Tapp,Temple,14
Wingel Xue,Johns Hopkins,63
Winnie Qin,Brandeis,4
Winson Cheung,UMBC,10
Wyatt Fortner,NYU,10
Wylie Bassill,William and Mary,4
Xiao-Ke Lu,Princeton,32
Xiao-Ke Lu,McGill,4
Xiaoyao Lu,Stanford,10
Xinyi Chi,Williams,20
Xiomara Bradden,Maryland,8
Yana Danzig,Carnegie Mellon,5
Yana Sharifullina,Swarthmore,20
Yannick Davidson,Williams,60
Yannick Davidson,Northeastern,14
Yannick Davidson,Tufts,10
Yara Alkhalifa,Northeastern,20
Yash Shetty,Boston University,122
Yash Shetty,University of Chicago,12
Yash Shetty,Tufts,6
Yashas Mallikarjun,Johns Hopkins,14
Yashas Mallikarjun,Penn,6
Yashas Mallikarjun,Rutgers,6
Yasmine Bolden,Johns Hopkins,4
Yavuz Kaklikkaya,NYU,6
Ye Joo Han,Harvard,118
Ye Joo Han,University of Chicago,12
Ye Joo Han,Penn,8
Yehezkiel Kotambunan,Boston University,20
Yichia Lee,Wellesley,22
Yiwen Lu,University of Chicago,10
Yixuan Liu,University of Virginia,38
Yixuan Liu,Georgetown,13
Yixuan Liu,American,4
Yixuan Liu,Penn,4
Ynes Traore,Yale,16
Yuanyi Ma,Tufts,4
Yue Huang,Amherst,8
Yuhan Li,Amherst,34
Yuhan Li,Brandeis,8
Yujin Zhou,Johns Hopkins,4
Yuki Nakano,George Washington,203
Yuki Nakano,William and Mary,38
Yuki Nakano,Georgetown,26
Yuki Nakano,Columbia,8
Yuki Nakano,University of Virginia,4
Yuki Nakano,University of Chicago,2
Yuto Kida,Yale,16
Yuwen Wang,Johns Hopkins,4
Yva Totchum,American,38
Zach Berg,Harvard,94
Zach Berg,University of Chicago,8
Zach Brown,American,4
Zach Pinto,Binghamton University,5
Zachary Glaser,Carleton,6
Zachary Heidel,Rutgers,10
Zachary Heidel,University of Virginia,4
Zachary Lazaroff,Temple,17
Zachary Lazaroff,Brandeis,8
Zack Cassidy,Boston University,4
Zahi Wali Aadit,Boston University,10
Zaid Hintzman,George Washington,62
Zaid Hintzman,La Verne,10
Zaid Hintzman,Georgetown,4
Zaid Hintzman,University of Virginia,4
Zainab Zarnish,Harvard,4
Zan Rozen,Amherst,30
Zan Rozen,Wellesley,11
Zan Rozen,Johns Hopkins,6
Zander Jeinthanuttkanont,Yale,59
Zander Jeinthanuttkanont,Georgetown,10
Zara Hamid,Johns Hopkins,2
Zara Memon,American,6
Zara Memon,Johns Hopkins,6
Zara Memon,Penn,2
Zariah Stewart,Wesleyan,4
Zayan Islam,UConn,42
Zayd Benjelloun,University of Virginia,12
Zayn Bhimani,Georgetown,32
Zelda Abramovich,Brandeis,10
Zerek Laghari,Wesleyan,24
Zhengdong Wang,Yale,10
Zhengying Tian,University of Chicago,14
Zimo-Tracy Ge,Boston University,20
Zimu Zhang,Johns Hopkins,6
Zoe Ewing,Columbia,4
Zoe Savala,University of Chicago,6
Zoe Zhu,University of Chicago,14
Zohaib Saleem,UConn,24
Zubair Mahedavi,University of Virginia,10
